wavelength_nm,n,k
496,1.51797252939571,0
497,1.51790829762539,0
498,1.51784449137585,0
499,1.51778104481509,0
500,1.51771802387664,1.49011611938477e-08
501,1.51765536272238,1.49011611938477e-08
502,1.5175930943438,1.49011611938477e-08
503,1.51753121878925,1.49011611938477e-08
504,1.51746973610679,1.49011611938477e-08
505,1.51740861339324,1.49011611938477e-08
506,1.51734785069212,1.49011611938477e-08
507,1.51728748100022,1.49011611938477e-08
508,1.51722743845476,1.49011611938477e-08
509,1.51716778900687,1.49011611938477e-08
510,1.51710849974549,1.49011611938477e-08
511,1.51704957071284,1.49011611938477e-08
512,1.5169910019509,1.49011611938477e-08
513,1.51693279350141,1.49011611938477e-08
514,1.51687491244334,1.49011611938477e-08
515,1.51681735881417,1.49011611938477e-08
516,1.51676019858117,1.49011611938477e-08
517,1.51670333289012,1.49011611938477e-08
518,1.51664682770907,2.1073424255447e-08
519,1.51659065010965,2.1073424255447e-08
520,1.51653483309814,2.1073424255447e-08
521,1.51647931077216,2.1073424255447e-08
522,1.51642411613638,2.1073424255447e-08
523,1.51636924922659,2.1073424255447e-08
524,1.51631474305304,2.1073424255447e-08
525,1.51626049872705,2.1073424255447e-08
526,1.51620661520784,2.58095682795178e-08
527,1.51615302657746,2.58095682795178e-08
528,1.5160997328672,2.58095682795178e-08
529,1.51604676708867,2.58095682795178e-08
530,1.51599412927623,2.58095682795178e-08
531,1.51594175349847,2.98023223876953e-08
532,1.51588970575039,2.98023223876953e-08
533,1.51583795308074,2.98023223876953e-08
534,1.51578649551974,2.98023223876953e-08
535,1.51573533309744,3.33200093731253e-08
536,1.51568446584373,3.33200093731253e-08
537,1.51563389378834,3.33200093731253e-08
538,1.51558358397021,3.65002414998886e-08
539,1.51553360239884,3.65002414998886e-08
540,1.51548388312116,3.94247667650072e-08
541,1.51543442616301,3.94247667650072e-08
542,1.51538526454496,4.2146848510894e-08
543,1.51533639829577,4.2146848510894e-08
544,1.51528779444698,4.4703483581543e-08
545,1.51523945302385,4.4703483581543e-08
546,1.51519137405148,4.71216091538724e-08
547,1.51514359055503,4.71216091538724e-08
548,1.51509606956127,4.9421560620597e-08
549,1.51504877809264,5.16191365590357e-08
550,1.51500178217717,5.16191365590357e-08
551,1.51495504883808,5.37269007483719e-08
552,1.51490857809968,5.57550398524693e-08
553,1.51486233697983,5.77119491429242e-08
554,1.51481635850687,5.96046447753906e-08
555,1.5147706427047,6.14390615465888e-08
556,1.51472518959711,6.3220272766341e-08
557,1.51467996619748,6.49526557853918e-08
558,1.51463497252639,6.66400187462506e-08
559,1.51459027462875,6.82856991135454e-08
560,1.51454577349118,6.98926413032924e-08
561,1.51450153515934,7.30004829997771e-08
562,1.51445752664114,7.45058059692383e-08
563,1.51441378097269,7.74287048385535e-08
564,1.51437023214272,7.88495335300145e-08
565,1.51432694620416,8.16170211889097e-08
566,1.51428389016063,8.42936970217881e-08
567,1.51424106403175,8.56006539842193e-08
568,1.51419846783703,8.81564584836307e-08
569,1.51415610159587,9.06402249678704e-08
570,1.51411393230497,9.30577218293905e-08
571,1.51407202602783,9.54139864062197e-08
572,1.51403031673742,9.8843121241194e-08
573,1.51398883747537,1.01064592348416e-07
574,1.51394758826057,1.04308128356934e-07
575,1.51390653608471,1.06415576168043e-07
576,1.51386571399184,1.09500724499666e-07
577,1.51382512200056,1.12501299906831e-07
578,1.5137847270996,1.15423898285848e-07
579,1.51374452930473,1.18274300295022e-07
580,1.51370456166321,1.21057605812489e-07
581,1.51366479116085,1.23778341158004e-07
582,1.51362525084646,1.27315577049815e-07
583,1.51358587466982,1.30757158806803e-07
584,1.51354672871372,1.34110450744629e-07
585,1.51350777996019,1.37381918091966e-07
586,1.51346906146113,1.40577273548493e-07
587,1.51343050715916,1.43701594486728e-07
588,1.51339215010519,1.47513969788129e-07
589,1.51335402335343,1.5123026915032e-07
590,1.51331606084123,1.54857409677107e-07
591,1.5132782956218,1.58401516269664e-07
592,1.51324072770991,1.61868043112758e-07
593,1.51320335712026,1.65932308519781e-07
594,1.51316618386747,1.6989937798666e-07
595,1.51312920796607,1.73775908197323e-07
596,1.51309239638564,1.77567829010084e-07
597,1.51305574913816,1.81280449935741e-07
598,1.51301933232858,1.85517960756849e-07
599,1.51298307987896,1.89660818299023e-07
600,1.5129470248492,1.94287371790488e-07
601,1.51291113420453,1.98247055644543e-07
602,1.51287540795666,2.02677704524032e-07
603,1.51283987916767,2.07013547263292e-07
604,1.51280454785145,2.11785292678355e-07
605,1.51276934791793,2.16451869105308e-07
606,1.51273434548173,2.21019938203563e-07
607,1.51269954055657,2.25495486712777e-07
