material_id,true_thickness_nm,scenario,method,n,mean_AE_nm,median_AE_nm,q90_AE_nm,q95_AE_nm,max_AE_nm,boundary_count,non_ok_count,convergence_count
B,380.0,baseline_drift,E3,200,0.12834145880568568,0.11674440778395476,0.21369768794662033,0.24842827170357668,0.3122736828402708,0,0,200
B,380.0,gaussian,E0,200,0.014519798988445933,0.012675976036661,0.03077008099462542,0.035247433562633955,0.0680176053820105,0,0,200
B,380.0,gaussian,E1,200,0.014584336624163776,0.011323327423525549,0.03176488720298491,0.03633688636212178,0.0684602227415211,0,0,200
B,380.0,gaussian,E3,200,0.014604058874140784,0.01107025014621845,0.03179508318387999,0.03634248530479449,0.0683497002255535,0,0,200
B,380.0,impulsive,E0,200,0.03818120813486753,0.03532850370649495,0.0786032622220034,0.08869518351937122,0.162344969118692,0,0,200
B,380.0,impulsive,E1,200,0.007814394873473369,0.0063003303484094,0.01608416303851071,0.020031064320880785,0.0499084858086007,0,0,200
B,380.0,impulsive,E3,200,0.007251650837249549,0.0064914743857684,0.01457764955192714,0.016270205957971417,0.0225745684701905,0,0,200
B,380.0,mixed,E0,200,0.14140684091442007,0.12500745369339936,0.2678828172213116,0.29731971952300557,0.4035108020080429,0,0,200
B,380.0,mixed,E1,200,0.13740503317071867,0.1352953584463705,0.2251590456773499,0.25924784168201426,0.329655766417261,0,0,200
B,380.0,mixed,E3,200,0.13781886976223087,0.1357613632477239,0.22253299266066617,0.26071534586260436,0.3271849158667805,0,0,200
B,520.0,baseline_drift,E0,200,0.15082749846885118,0.14748277685367833,0.21914962500441104,0.23234555901401555,0.3002688538678058,0,0,200
B,520.0,baseline_drift,E1,200,0.16496985426993088,0.1564780907892782,0.24675881104180913,0.2580689852585237,0.3251124475525557,0,0,200
B,520.0,baseline_drift,E3,200,0.17797576010696273,0.17110793270137487,0.2913239721881041,0.3107473332754236,0.3940675959447617,0,0,200
B,520.0,gaussian,E0,200,0.012092826606992681,0.00965583792049065,0.02528795466107562,0.028190635017205014,0.0461790961941233,0,0,200
B,520.0,gaussian,E1,200,0.012260188477751465,0.0098208419816501,0.02595740659426152,0.029598763800339548,0.0427394191347048,0,0,200
B,520.0,gaussian,E3,200,0.012198326612023556,0.0096728034516786,0.025829092737228568,0.0297217111326289,0.0429190760439723,0,0,200
B,520.0,impulsive,E0,200,0.034001355566617764,0.029270165199989102,0.07678787392002273,0.0838409036177381,0.1231910355546688,0,0,200
B,520.0,impulsive,E1,200,0.0059560657990379694,0.00527042871448195,0.012137501803397259,0.013185820707326431,0.0210299969608058,0,0,200
B,520.0,impulsive,E3,200,0.004984214844487797,0.0045395813592108,0.01124556432095004,0.013291806159980974,0.0168958748291743,0,0,200
B,520.0,mixed,E0,200,0.1509281390163238,0.14652850011634655,0.24994219634594392,0.28720348351630487,0.3473121777902861,0,0,200
B,520.0,mixed,E1,200,0.1588231433773461,0.15644269188305765,0.23996883330784152,0.2587906427041332,0.2984132687844294,0,0,200
B,520.0,mixed,E3,200,0.15842552989208852,0.1530276227539957,0.24253294396156652,0.2620431984475544,0.3287874551014056,0,0,200
B,680.0,baseline_drift,E0,200,0.04798463244931038,0.0450077027832094,0.0740368638343624,0.08117108001855505,0.0935123134149762,0,0,200
B,680.0,baseline_drift,E1,200,0.053889154386637265,0.050023281104017756,0.08632257158727721,0.0959660161225997,0.1131521702868667,0,0,200
B,680.0,baseline_drift,E3,200,0.059806960661797415,0.05135318632841285,0.09863617547331384,0.12269659035302975,0.2198571283644241,0,0,200
B,680.0,gaussian,E0,200,0.012368234196098863,0.01058535613736915,0.02406206492923951,0.02898878973045376,0.0372078796516461,0,0,200
B,680.0,gaussian,E1,200,0.012711853018279791,0.01169741013410425,0.02484165237499381,0.028190061914216254,0.0380861019696112,0,0,200
B,680.0,gaussian,E3,200,0.012636587699002413,0.011588030266352651,0.02481424289139789,0.028208819254945092,0.0384040588878633,0,0,200
B,680.0,impulsive,E0,200,0.036622567642158925,0.03266575780429545,0.073767408980666,0.08334804144871541,0.1328279525597508,0,0,200
B,680.0,impulsive,E1,200,0.0061157660527504255,0.0050922390086043,0.012251335630230618,0.014340643766399723,0.0212824985827637,0,0,200
B,680.0,impulsive,E3,200,0.004429085768717261,0.0033941047140615003,0.01013694002116373,0.012529110443801974,0.0224914171311638,0,0,200
B,680.0,mixed,E0,200,0.06616223709075877,0.050689338904533046,0.14107110144846038,0.16739136803050758,0.228579162381493,0,0,200
B,680.0,mixed,E1,200,0.050030849464918065,0.04425964005139345,0.08897455362217666,0.10170166286225131,0.158319456377967,0,0,200
B,680.0,mixed,E3,200,0.04915941459632104,0.0440735598523929,0.08657912683128184,0.10501094696213042,0.1382295562135596,0,0,200
C,380.0,baseline_drift,E0,200,7.964833599202807,7.549437262864899,12.175492934257266,14.339295829130116,17.59262348782437,0,0,200
C,380.0,baseline_drift,E1,200,7.946869304105551,7.575690415047262,12.070901712750212,14.561193636160331,17.827080601609737,0,0,200
C,380.0,baseline_drift,E3,200,7.938121704924813,7.575298798193302,12.063711341934157,14.479040410042105,17.83687797386426,0,0,200
C,380.0,gaussian,E0,200,0.4524292791872969,0.3791752627466564,0.9611668238813819,1.1051534345374525,1.795232810032644,0,0,200
C,380.0,gaussian,E1,200,0.4694483034563515,0.399802884474326,0.971380261388009,1.1482651541465794,1.7087786224216757,0,0,200
C,380.0,gaussian,E3,200,0.46995400027214,0.3990511761315929,0.9775883860195108,1.1543952649168367,1.6994638952845662,0,0,200
C,380.0,impulsive,E0,200,7.428567543983126,1.0871539774372252,3.180311491759437,3.9164028869772154,181.36072214536568,0,0,200
C,380.0,impulsive,E1,200,0.27927654577219696,0.2644458597442849,0.526724182519996,0.6069420356687796,1.1014629067935289,0,0,200
C,380.0,impulsive,E3,200,0.22474632953142812,0.19438885429588026,0.4592433606729855,0.517050832476957,0.6878462895959956,0,0,200
