observation_id,scenario,tree_fine_energy_ratio,runtime_e4_seconds,inner_iterations,outer_nfev
stage28:A:520:baseline_drift:103,baseline_drift,48.35172762529809,0.0582204088568687,12,8
stage28:A:520:baseline_drift:111,baseline_drift,147.82766614864937,0.0570612549781799,11,8
stage28:A:520:baseline_drift:116,baseline_drift,134.9493892643092,0.0431219935417175,9,7
stage28:A:520:baseline_drift:119,baseline_drift,208.5263513891817,0.0554405897855758,10,8
stage28:A:520:baseline_drift:125,baseline_drift,3.73984516061362,0.0446318089962005,10,7
stage28:A:520:baseline_drift:130,baseline_drift,169.86829975075216,0.0398677289485931,11,8
stage28:A:520:baseline_drift:140,baseline_drift,79.82440676929333,0.0412793159484863,10,6
stage28:A:520:baseline_drift:142,baseline_drift,15.31255118030203,0.0545086562633514,9,9
stage28:A:520:baseline_drift:146,baseline_drift,6.635780767582033,0.0449187010526657,9,8
stage28:A:520:baseline_drift:158,baseline_drift,73.62602508426218,0.056485965847969,12,8
stage28:A:520:baseline_drift:160,baseline_drift,22.600967334949868,0.0540113598108291,11,8
stage28:A:520:baseline_drift:162,baseline_drift,21.412410406266915,0.0465132743120193,9,8
stage28:A:520:baseline_drift:163,baseline_drift,10.415004311672057,0.0726928636431694,13,9
stage28:A:520:baseline_drift:189,baseline_drift,41.52043064042544,0.0472471117973327,8,8
stage28:A:520:baseline_drift:196,baseline_drift,49.22675866853434,0.0516496524214744,10,8
stage28:A:520:mixed:010,mixed,602.7773063545504,0.0583734661340713,11,8
stage28:A:520:mixed:022,mixed,28.42326450407716,0.0562435910105705,11,8
stage28:A:520:mixed:042,mixed,56.88643630497744,0.0804142281413078,15,8
stage28:A:520:mixed:060,mixed,41.93997361158167,0.0588584691286087,12,8
stage28:A:520:mixed:061,mixed,175.2960911280886,0.0416763797402381,9,7
stage28:A:520:mixed:066,mixed,101.36141074770156,0.0625965446233749,12,8
stage28:A:520:mixed:067,mixed,38.6319142084122,0.0474947094917297,8,9
stage28:A:520:mixed:068,mixed,161.15332101259898,0.0599495992064476,14,7
stage28:A:520:mixed:077,mixed,23.62482717966961,0.0844284817576408,16,9
stage28:A:520:mixed:079,mixed,35.01554182518747,0.0733711346983909,15,8
stage28:A:520:mixed:084,mixed,120.49947496559344,0.0386466160416603,8,7
stage28:A:520:mixed:107,mixed,7.873317454206119,0.0671724453568458,12,8
stage28:A:520:mixed:108,mixed,218.79090587461965,0.0580227524042129,10,7
stage28:A:520:mixed:115,mixed,60.42372069241194,0.0473563447594642,9,8
stage28:A:520:mixed:116,mixed,177.49369101568524,0.0588849112391471,12,8
stage28:A:520:mixed:118,mixed,136.60318803322153,0.0456642210483551,13,8
stage28:A:520:mixed:119,mixed,20.384169196985606,0.0507074669003486,13,8
stage28:A:520:mixed:128,mixed,68.885886790511,0.0428843572735786,9,7
stage28:A:520:mixed:144,mixed,57.13735470740333,0.0457847490906715,9,8
stage28:A:520:mixed:153,mixed,119.372973188252,0.056823544204235,11,8
stage28:A:520:mixed:154,mixed,19.089434141994747,0.0646170899271965,12,8
stage28:A:520:mixed:162,mixed,196.29087425580155,0.0654414892196655,13,8
stage28:A:520:mixed:170,mixed,42.02723409384903,0.0513029545545578,9,9
stage28:A:520:mixed:172,mixed,5.685815834052681,0.0489964559674263,9,8
stage28:A:520:mixed:182,mixed,117.36694082457444,0.0594951584935188,13,8
stage28:A:680:gaussian:002,gaussian,352.5892539587399,0.0621735900640487,13,8
stage28:A:680:gaussian:056,gaussian,1987.4367821829944,0.0699247196316719,17,7
stage28:A:680:gaussian:087,gaussian,2011.580189255944,0.0751158818602562,13,7
stage28:A:680:gaussian:096,gaussian,1457.1378497337216,0.0562256872653961,12,7
stage28:A:680:gaussian:116,gaussian,895.6271294804208,0.066644363105297,14,8
stage28:A:680:gaussian:162,gaussian,386.7047414862412,0.0653992146253585,12,8
stage28:A:680:gaussian:168,gaussian,1032.5786689500335,0.0471800714731216,16,7
stage28:A:680:gaussian:171,gaussian,915.014247823176,0.0618604347109794,13,8
stage28:A:680:baseline_drift:004,baseline_drift,3.890416453986484,0.0424000546336174,9,7
stage28:A:680:baseline_drift:005,baseline_drift,107.40595146671528,0.0498412251472473,13,6
stage28:A:680:baseline_drift:006,baseline_drift,63.01913865094754,0.0301576480269432,9,6
stage28:A:680:baseline_drift:022,baseline_drift,3.1159522756562352,0.0395326018333435,8,6
stage28:A:680:baseline_drift:035,baseline_drift,44.823586600130085,0.0319238156080246,7,6
stage28:A:680:baseline_drift:045,baseline_drift,25.25251107645304,0.0409672856330871,9,7
stage28:A:680:baseline_drift:054,baseline_drift,111.81566652702112,0.0411414802074432,10,6
stage28:A:680:baseline_drift:062,baseline_drift,13.031376261798062,0.0425487384200096,8,7
stage28:A:680:baseline_drift:066,baseline_drift,151.24379223270302,0.0425662174820899,10,6
stage28:A:680:baseline_drift:077,baseline_drift,7.681996949684469,0.0602244511246681,13,7
stage28:A:680:baseline_drift:083,baseline_drift,209.6539725374064,0.0318905562162399,7,6
stage28:A:680:baseline_drift:099,baseline_drift,5.92852148745359,0.0340551361441612,7,6
stage28:A:680:baseline_drift:106,baseline_drift,18.250526006693413,0.0407403111457824,7,8
stage28:A:680:baseline_drift:127,baseline_drift,8.357828776656028,0.0293048992753028,8,7
stage28:A:680:baseline_drift:137,baseline_drift,6.022125595948503,0.0347624942660331,8,6
stage28:A:680:baseline_drift:151,baseline_drift,9.823789222946347,0.0432821586728096,9,7
stage28:A:680:baseline_drift:152,baseline_drift,290.9118681436453,0.0470964685082435,12,6
stage28:A:680:baseline_drift:175,baseline_drift,37.42432768265212,0.0477704852819442,10,7
stage28:A:680:baseline_drift:176,baseline_drift,50.08360542500398,0.0358706787228584,8,6
stage28:A:680:baseline_drift:180,baseline_drift,83.99923845410156,0.0328184068202972,7,6
stage28:A:680:baseline_drift:185,baseline_drift,75.42268055051291,0.0509928986430168,10,7
stage28:A:680:baseline_drift:187,baseline_drift,30.76990010130311,0.0415109023451805,9,6
stage28:A:680:baseline_drift:194,baseline_drift,22.264833482114824,0.0330601707100868,7,6
stage28:A:680:mixed:012,mixed,14.5073452811796,0.0442912727594375,8,8
stage28:A:680:mixed:018,mixed,27.85526672401921,0.048963263630867,9,8
stage28:A:680:mixed:021,mixed,27.02293889007765,0.0621658936142921,13,8
stage28:A:680:mixed:024,mixed,88.38262442921878,0.0471506565809249,8,8
stage28:A:680:mixed:027,mixed,39.01237101883629,0.0517385974526405,9,8
stage28:A:680:mixed:039,mixed,166.90727287100796,0.0371919423341751,10,8
stage28:A:680:mixed:047,mixed,20.091913471300828,0.0503388941287994,9,8
stage28:A:680:mixed:051,mixed,173.39520962386828,0.0533513650298118,10,8
stage28:A:680:mixed:084,mixed,8.556794049649241,0.0724187344312667,15,8
stage28:A:680:mixed:085,mixed,17.529209935671616,0.0456684529781341,10,7
stage28:A:680:mixed:089,mixed,57.54571627897742,0.0439928099513053,8,8
stage28:A:680:mixed:101,mixed,154.63441846466625,0.0460439026355743,9,8
stage28:A:680:mixed:109,mixed,33.71634472469729,0.0464732274413108,9,8
stage28:A:680:mixed:110,mixed,24.887477005748792,0.0513298287987709,11,7
stage28:A:680:mixed:116,mixed,33.37688428101518,0.0424380004405975,9,7
stage28:A:680:mixed:123,mixed,310.1900168163687,0.0497690662741661,9,8
stage28:A:680:mixed:125,mixed,81.39356053042044,0.0499572530388832,13,9
stage28:A:680:mixed:127,mixed,31.246138728923043,0.0298622474074363,8,7
stage28:A:680:mixed:135,mixed,8.938097422990182,0.0432292222976684,10,7
stage28:A:680:mixed:141,mixed,115.9847789369757,0.0334468781948089,10,7
stage28:A:680:mixed:144,mixed,98.40166931364594,0.0467035397887229,9,8
stage28:A:680:mixed:159,mixed,92.29035875561304,0.0416127443313598,8,7
stage28:A:680:mixed:163,mixed,16.80747250032372,0.0457495525479316,9,8
stage28:A:680:mixed:165,mixed,35.212126676974194,0.0603952929377555,12,8
stage28:A:680:mixed:168,mixed,62.03192730066087,0.0393910109996795,7,7
